### Footprint positions - created on 2026-01-19T08:33:37-0800 ###
### Printed by KiCad version 9.0.7
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val            Package                                                        PosX       PosY       Rot  Side
C1        100nF          C_0805_2012Metric                                            7.4213    -3.3071    0.0000  top
C2        100nF          C_0805_2012Metric                                            8.2087    -3.3071    0.0000  top
C3        4.7uF          C_0805_2012Metric                                            7.8150    -3.5433    0.0000  top
C4        100nF          C_0805_2012Metric                                            7.8150    -3.9370    0.0000  top
C5        470pF          C_0805_2012Metric                                            8.7992    -5.0000    0.0000  top
C8        100uF          C_1206_3216Metric                                            8.0118    -2.5591    0.0000  top
C9        10uF           C_0805_2012Metric                                            8.8780    -2.5591    0.0000  top
C10       10uF           C_0805_2012Metric                                            8.6024    -3.3071    0.0000  top
C11       10uF           C_0805_2012Metric                                            8.6024    -3.7402    0.0000  top
C12       100nF          C_0805_2012Metric                                            8.6024    -4.1732    0.0000  top
C13       100nF          C_0805_2012Metric                                            8.6024    -4.6063    0.0000  top
C14       100nF          C_0805_2012Metric                                            8.8386    -3.5039    0.0000  top
C101      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    2.6181    -2.3622    0.0000  top
C102      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.0906    -2.3622    0.0000  top
C103      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.5630    -2.3622    0.0000  top
C104      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.0354    -2.3622    0.0000  top
C105      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.5079    -2.3622    0.0000  top
C106      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.9803    -2.3622    0.0000  top
C107      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    5.4528    -2.3622    0.0000  top
C108      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    5.9252    -2.3622    0.0000  top
C109      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    6.3976    -2.3622    0.0000  top
C110      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    6.8701    -2.3622    0.0000  top
C111      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    2.6181    -2.8346    0.0000  top
C112      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.0906    -2.8346    0.0000  top
C113      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.5630    -2.8346    0.0000  top
C114      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.0354    -2.8346    0.0000  top
C115      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.5079    -2.8346    0.0000  top
C116      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.9803    -2.8346    0.0000  top
C117      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    5.4528    -2.8346    0.0000  top
C118      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    5.9252    -2.8346    0.0000  top
C119      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    6.3976    -2.8346    0.0000  top
C120      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    6.8701    -2.8346    0.0000  top
C121      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    2.6181    -3.3071    0.0000  top
C122      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.0906    -3.3071    0.0000  top
C123      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.5630    -3.3071    0.0000  top
C124      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.0354    -3.3071    0.0000  top
C125      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.5079    -3.3071    0.0000  top
